order_id,customer_name,product_name,quantity,order_status,Price
1001,Aisha Khan,Chocolate Cake,1,Delivered,
1002,Rahul Sharma,Vanilla Cake,2,Delivered,
NaN,Priya Patel,Red Velvet Cake,1,Shipped,
1004,Aisha Khan,Blueberry Pastry,3,Processing,
1005,Arjun Mehta,Black Forest Cake,1,Delivered,
1005,Arjun Mehta,Black Forest Cake,1,Delivered,
NaN,Neha Singh,Strawberry Cake,2,Cancelled,
1008,Karan Verma,Butterscotch Cake,1,Shipped,
1009,Priya Patel,Chocolate Truffle Cake,1,Delivered,
1010,Sneha Reddy,Vanilla Cake,1,Processing,
1010,Sneha Reddy,Vanilla Cake,1,Processing,
NaN,Meera Iyer,Chocolate Cake,2,Delivered,
